Amostra1_x,Amostra1_y,Amostra2_x,Amostra2_y,Amostra3_x,Amostra3_y,Amostra4_x,Amostra4_y
0.328,0.323928077,0.355,0.354531002,0.355,0.354531002,0.355,0.354531002
0.318,0.323058542,0.292,0.324036095,0.292,0.324036095,0.292,0.324036095
0.279,0.317460317,0.327,0.324917673,0.327,0.324917673,0.327,0.324917673
0.307,0.316258352,0.323,0.324357912,0.323,0.324357912,0.323,0.324357912
0.287,0.313313313,0.319,0.323152709,0.319,0.323152709,0.319,0.323152709
0.3,0.312184681,0.328,0.323928077,0.328,0.323928077,0.328,0.323928077
0.298,0.311180388,0.318,0.323058542,0.318,0.323058542,0.318,0.323058542
0.327,0.312235169,0.279,0.317460317,0.279,0.317460317,0.279,0.317460317
0.312,0.292786421,0.307,0.316258352,0.307,0.316258352,0.307,0.316258352
0.335,0.311252993,0.287,0.313313313,0.287,0.313313313,0.287,0.313313313
0.316,0.312739202,0.3,0.312184681,0.3,0.312184681,0.3,0.312184681
0.289,0.306992139,0.298,0.311180388,0.298,0.311180388,0.298,0.311180388
0.308,0.307126129,0.327,0.312235169,0.327,0.312235169,0.327,0.312235169
0.3,0.305945036,0.312,0.292786421,0.312,0.292786421,0.312,0.292786421
0.248,0.25848564,0.335,0.311252993,0.335,0.311252993,0.335,0.311252993
0.259,0.258710453,0.316,0.312739202,0.316,0.312739202,0.259,0.258710453
0.249,0.25727989,0.289,0.306992139,0.289,0.306992139,0.249,0.25727989
0.292,0.292079208,0.308,0.307126129,0.308,0.307126129,0.292,0.292079208
0.298,0.295206972,0.3,0.305945036,0.3,0.305945036,0.298,0.295206972
0.273,0.262482168,0.248,0.25848564,0.248,0.25848564,0.273,0.262482168
0.271,0.25011558,0.259,0.258710453,0.259,0.258710453,0.271,0.25011558
0.286,0.258306538,0.249,0.25727989,0.249,0.25727989,0.286,0.258306538
0.285,0.2617866,0.292,0.292079208,0.292,0.292079208,0.285,0.2617866
0.281,0.27297593,0.298,0.295206972,0.298,0.295206972,0.281,0.27297593
0.315,0.288288288,0.273,0.262482168,0.273,0.262482168,0.315,0.288288288
0.278,0.285151856,0.271,0.25011558,0.271,0.25011558,0.278,0.285151856
0.304,0.290108063,0.286,0.258306538,0.286,0.258306538,0.304,0.290108063
0.324,0.296271186,0.285,0.2617866,0.285,0.2617866,0.324,0.296271186
0.243,0.289110655,0.281,0.27297593,0.281,0.27297593,0.243,0.289110655
0.308,0.291506287,0.315,0.288288288,0.315,0.288288288,0.308,0.291506287
0.259,0.287689866,0.278,0.285151856,0.278,0.285151856,0.259,0.287689866
0.269,0.268760908,0.304,0.290108063,0.304,0.290108063,0.269,0.268760908
0.318,0.317073171,0.324,0.296271186,0.324,0.296271186,0.318,0.317073171
0.302,0.309803922,0.243,0.289110655,0.243,0.289110655,0.302,0.309803922
0.317,0.311839911,0.308,0.291506287,0.317,0.311839911,0.317,0.311839911
0.307,0.310786914,0.259,0.287689866,0.307,0.310786914,0.307,0.310786914
0.263,0.301832555,0.269,0.268760908,0.263,0.301832555,0.263,0.301832555
0.288,0.299906861,0.318,0.317073171,0.288,0.299906861,0.288,0.299906861
0.279,0.297282609,0.302,0.309803922,0.279,0.297282609,0.279,0.297282609
0.295,0.296996926,0.317,0.311839911,0.295,0.296996926,0.295,0.296996926
